FromBIC,ToBIC,TimeTakenInMinutes
MHCBJPJTXXX,NATAAU3302S,60
NATAAU3302S,MHCBJPJTXXX,60
ABNANL2AXXX,NATAAU3302S,209
NATAAU3302S,ABNANL2AXXX,209
DEUTDEBBXXX,NATAAU3302S,119
NATAAU3302S,DEUTDEBBXXX,119
MMTOJPJTXXX,NATAAU3302S,94
NATAAU3302S,MMTOJPJTXXX,94
BLKBCH22XXX,NATAAU3302S,139
NATAAU3302S,BLKBCH22XXX,139
CRESCHZZXXX,NATAAU3302S,233
NATAAU3302S,CRESCHZZXXX,233
CRLYFRPPXXX,NATAAU3302S,226
NATAAU3302S,CRLYFRPPXXX,226
AGRIFRPPXXX,NATAAU3302S,198
NATAAU3302S,AGRIFRPPXXX,198
HSBCGB2LXXX,NATAAU3302S,186
NATAAU3302S,HSBCGB2LXXX,186
SBININBBFXD,NATAAU3302S,81
NATAAU3302S,SBININBBFXD,81
BOTKJPJTXXX,NATAAU3302S,184
NATAAU3302S,BOTKJPJTXXX,184
BARCGB22XXX,NATAAU3302S,129
NATAAU3302S,BARCGB22XXX,129
SMBCJPJTXXX,NATAAU3302S,200
NATAAU3302S,SMBCJPJTXXX,200
ICICINBBCTS,NATAAU3302S,230
NATAAU3302S,ICICINBBCTS,230
WFBIUS6SXXX,NATAAU3302S,225
NATAAU3302S,WFBIUS6SXXX,225
ABOCCNBJXXX,NATAAU3302S,216
NATAAU3302S,ABOCCNBJXXX,216
BKCHCNBJXXX,NATAAU3302S,96
NATAAU3302S,BKCHCNBJXXX,96
HYVEDEMMXXX,NATAAU3302S,203
NATAAU3302S,HYVEDEMMXXX,203
HELADEF1RRS,NATAAU3302S,159
NATAAU3302S,HELADEF1RRS,159
BOFAUS3NXXX,NATAAU3302S,113
NATAAU3302S,BOFAUS3NXXX,113
BAFUCH22XXX,NATAAU3302S,223
NATAAU3302S,BAFUCH22XXX,223
UTIBINBBXXX,NATAAU3302S,224
NATAAU3302S,UTIBINBBXXX,224
CITIUS33XXX,NATAAU3302S,218
NATAAU3302S,CITIUS33XXX,218
CHASUS33XXX,NATAAU3302S,150
NATAAU3302S,CHASUS33XXX,150
HDFCINBBXXX,NATAAU3302S,164
NATAAU3302S,HDFCINBBXXX,164
UBSWCHZH80A,NATAAU3302S,89
NATAAU3302S,UBSWCHZH80A,89
CCBCCNBJXXX,NATAAU3302S,109
NATAAU3302S,CCBCCNBJXXX,109
RABONL2UXXX,NATAAU3302S,216
NATAAU3302S,RABONL2UXXX,216
RBOSGB2LXXX,NATAAU3302S,149
NATAAU3302S,RBOSGB2LXXX,149
SOGEFRPPXXX,NATAAU3302S,143
NATAAU3302S,SOGEFRPPXXX,143
MIDLGB22XXX,NATAAU3302S,213
NATAAU3302S,MIDLGB22XXX,213
COBADEFFXXX,NATAAU3302S,149
NATAAU3302S,COBADEFFXXX,149
INGBNL2AXXX,NATAAU3302S,112
NATAAU3302S,INGBNL2AXXX,112
PCBCCNBJXXX,NATAAU3302S,92
NATAAU3302S,PCBCCNBJXXX,92
RABOCHGGXXX,BLKBCH22XXX,92
BLKBCH22XXX,RABOCHGGXXX,92
CRESCHZZXXX,BLKBCH22XXX,98
BLKBCH22XXX,CRESCHZZXXX,98
BCVACH2LXXX,BLKBCH22XXX,26
BLKBCH22XXX,BCVACH2LXXX,26
BCVSCH2LXXX,BLKBCH22XXX,82
BLKBCH22XXX,BCVSCH2LXXX,82
BAFUCH22XXX,BLKBCH22XXX,69
BLKBCH22XXX,BAFUCH22XXX,69
UBSWCHZH80A,BLKBCH22XXX,111
BLKBCH22XXX,UBSWCHZH80A,111
ABBECHZZXXX,BLKBCH22XXX,97
BLKBCH22XXX,ABBECHZZXXX,97
BNPAFRPPXXX,BLKBCH22XXX,92
BLKBCH22XXX,BNPAFRPPXXX,92
KNABNL2HXXX,BLKBCH22XXX,100
BLKBCH22XXX,KNABNL2HXXX,100
MHCBJPJTXXX,BLKBCH22XXX,150
BLKBCH22XXX,MHCBJPJTXXX,150
ABNANL2AXXX,BLKBCH22XXX,81
BLKBCH22XXX,ABNANL2AXXX,81
DEUTDEBBXXX,BLKBCH22XXX,85
BLKBCH22XXX,DEUTDEBBXXX,85
MMTOJPJTXXX,BLKBCH22XXX,125
BLKBCH22XXX,MMTOJPJTXXX,125
NATAAU3302S,BLKBCH22XXX,118
BLKBCH22XXX,NATAAU3302S,118
CRLYFRPPXXX,BLKBCH22XXX,228
BLKBCH22XXX,CRLYFRPPXXX,228
AGRIFRPPXXX,BLKBCH22XXX,224
BLKBCH22XXX,AGRIFRPPXXX,224
HSBCGB2LXXX,BLKBCH22XXX,172
BLKBCH22XXX,HSBCGB2LXXX,172
SBININBBFXD,BLKBCH22XXX,211
BLKBCH22XXX,SBININBBFXD,211
ANZBAU3MXXX,BLKBCH22XXX,208
BLKBCH22XXX,ANZBAU3MXXX,208
BOTKJPJTXXX,BLKBCH22XXX,149
BLKBCH22XXX,BOTKJPJTXXX,149
BARCGB22XXX,BLKBCH22XXX,120
BLKBCH22XXX,BARCGB22XXX,120
SMBCJPJTXXX,BLKBCH22XXX,131
BLKBCH22XXX,SMBCJPJTXXX,131
CUSCAU2SXXX,BLKBCH22XXX,179
BLKBCH22XXX,CUSCAU2SXXX,179
ICICINBBCTS,BLKBCH22XXX,170
BLKBCH22XXX,ICICINBBCTS,170
WFBIUS6SXXX,BLKBCH22XXX,106
BLKBCH22XXX,WFBIUS6SXXX,106
ABOCCNBJXXX,BLKBCH22XXX,87
BLKBCH22XXX,ABOCCNBJXXX,87
BKCHCNBJXXX,BLKBCH22XXX,73
BLKBCH22XXX,BKCHCNBJXXX,73
HYVEDEMMXXX,BLKBCH22XXX,79
BLKBCH22XXX,HYVEDEMMXXX,79
HELADEF1RRS,BLKBCH22XXX,177
BLKBCH22XXX,HELADEF1RRS,177
BOFAUS3NXXX,BLKBCH22XXX,125
BLKBCH22XXX,BOFAUS3NXXX,125
UTIBINBBXXX,BLKBCH22XXX,112
BLKBCH22XXX,UTIBINBBXXX,112
CITIUS33XXX,BLKBCH22XXX,119
BLKBCH22XXX,CITIUS33XXX,119
CHASUS33XXX,BLKBCH22XXX,76
BLKBCH22XXX,CHASUS33XXX,76
HDFCINBBXXX,BLKBCH22XXX,137
BLKBCH22XXX,HDFCINBBXXX,137
CCBCCNBJXXX,BLKBCH22XXX,229
BLKBCH22XXX,CCBCCNBJXXX,229
RABONL2UXXX,BLKBCH22XXX,165
BLKBCH22XXX,RABONL2UXXX,165
RBOSGB2LXXX,BLKBCH22XXX,108
BLKBCH22XXX,RBOSGB2LXXX,108
SOGEFRPPXXX,BLKBCH22XXX,179
BLKBCH22XXX,SOGEFRPPXXX,179
MIDLGB22XXX,BLKBCH22XXX,197
BLKBCH22XXX,MIDLGB22XXX,197
COBADEFFXXX,BLKBCH22XXX,148
BLKBCH22XXX,COBADEFFXXX,148
WPACAU2SXXX,BLKBCH22XXX,88
BLKBCH22XXX,WPACAU2SXXX,88
INGBNL2AXXX,BLKBCH22XXX,219
BLKBCH22XXX,INGBNL2AXXX,219
PCBCCNBJXXX,BLKBCH22XXX,173
BLKBCH22XXX,PCBCCNBJXXX,173
RABOCHGGXXX,CRESCHZZXXX,72
CRESCHZZXXX,RABOCHGGXXX,72
BLKBCH22XXX,CRESCHZZXXX,35
CRESCHZZXXX,BLKBCH22XXX,35
BCVACH2LXXX,CRESCHZZXXX,77
CRESCHZZXXX,BCVACH2LXXX,77
BCVSCH2LXXX,CRESCHZZXXX,61
CRESCHZZXXX,BCVSCH2LXXX,61
BAFUCH22XXX,CRESCHZZXXX,110
CRESCHZZXXX,BAFUCH22XXX,110
UBSWCHZH80A,CRESCHZZXXX,57
CRESCHZZXXX,UBSWCHZH80A,57
ABBECHZZXXX,CRESCHZZXXX,39
CRESCHZZXXX,ABBECHZZXXX,39
BNPAFRPPXXX,CRESCHZZXXX,119
CRESCHZZXXX,BNPAFRPPXXX,119
KNABNL2HXXX,CRESCHZZXXX,192
CRESCHZZXXX,KNABNL2HXXX,192
MHCBJPJTXXX,CRESCHZZXXX,175
CRESCHZZXXX,MHCBJPJTXXX,175
ABNANL2AXXX,CRESCHZZXXX,238
CRESCHZZXXX,ABNANL2AXXX,238
DEUTDEBBXXX,CRESCHZZXXX,121
CRESCHZZXXX,DEUTDEBBXXX,121
MMTOJPJTXXX,CRESCHZZXXX,222
CRESCHZZXXX,MMTOJPJTXXX,222
NATAAU3302S,CRESCHZZXXX,84
CRESCHZZXXX,NATAAU3302S,84
CRLYFRPPXXX,CRESCHZZXXX,134
CRESCHZZXXX,CRLYFRPPXXX,134
AGRIFRPPXXX,CRESCHZZXXX,60
CRESCHZZXXX,AGRIFRPPXXX,60
HSBCGB2LXXX,CRESCHZZXXX,201
CRESCHZZXXX,HSBCGB2LXXX,201
SBININBBFXD,CRESCHZZXXX,200
CRESCHZZXXX,SBININBBFXD,200
ANZBAU3MXXX,CRESCHZZXXX,113
CRESCHZZXXX,ANZBAU3MXXX,113
BOTKJPJTXXX,CRESCHZZXXX,80
CRESCHZZXXX,BOTKJPJTXXX,80
BARCGB22XXX,CRESCHZZXXX,216
CRESCHZZXXX,BARCGB22XXX,216
SMBCJPJTXXX,CRESCHZZXXX,190
CRESCHZZXXX,SMBCJPJTXXX,190
CUSCAU2SXXX,CRESCHZZXXX,68
CRESCHZZXXX,CUSCAU2SXXX,68
ICICINBBCTS,CRESCHZZXXX,141
CRESCHZZXXX,ICICINBBCTS,141
WFBIUS6SXXX,CRESCHZZXXX,238
CRESCHZZXXX,WFBIUS6SXXX,238
ABOCCNBJXXX,CRESCHZZXXX,188
CRESCHZZXXX,ABOCCNBJXXX,188
BKCHCNBJXXX,CRESCHZZXXX,98
CRESCHZZXXX,BKCHCNBJXXX,98
HYVEDEMMXXX,CRESCHZZXXX,145
CRESCHZZXXX,HYVEDEMMXXX,145
HELADEF1RRS,CRESCHZZXXX,216
CRESCHZZXXX,HELADEF1RRS,216
BOFAUS3NXXX,CRESCHZZXXX,76
CRESCHZZXXX,BOFAUS3NXXX,76
UTIBINBBXXX,CRESCHZZXXX,78
CRESCHZZXXX,UTIBINBBXXX,78
CITIUS33XXX,CRESCHZZXXX,129
CRESCHZZXXX,CITIUS33XXX,129
CHASUS33XXX,CRESCHZZXXX,114
CRESCHZZXXX,CHASUS33XXX,114
HDFCINBBXXX,CRESCHZZXXX,178
CRESCHZZXXX,HDFCINBBXXX,178
CCBCCNBJXXX,CRESCHZZXXX,206
CRESCHZZXXX,CCBCCNBJXXX,206
RABONL2UXXX,CRESCHZZXXX,83
CRESCHZZXXX,RABONL2UXXX,83
RBOSGB2LXXX,CRESCHZZXXX,69
CRESCHZZXXX,RBOSGB2LXXX,69
SOGEFRPPXXX,CRESCHZZXXX,69
CRESCHZZXXX,SOGEFRPPXXX,69
MIDLGB22XXX,CRESCHZZXXX,142
CRESCHZZXXX,MIDLGB22XXX,142
COBADEFFXXX,CRESCHZZXXX,201
CRESCHZZXXX,COBADEFFXXX,201
WPACAU2SXXX,CRESCHZZXXX,185
CRESCHZZXXX,WPACAU2SXXX,185
INGBNL2AXXX,CRESCHZZXXX,140
CRESCHZZXXX,INGBNL2AXXX,140
PCBCCNBJXXX,CRESCHZZXXX,81
CRESCHZZXXX,PCBCCNBJXXX,81
BNPAFRPPXXX,CRLYFRPPXXX,81
CRLYFRPPXXX,BNPAFRPPXXX,81
CICIFRPPXXX,CRLYFRPPXXX,80
CRLYFRPPXXX,CICIFRPPXXX,80
CCBPFRPPXXX,CRLYFRPPXXX,74
CRLYFRPPXXX,CCBPFRPPXXX,74
AGRIFRPPXXX,CRLYFRPPXXX,82
CRLYFRPPXXX,AGRIFRPPXXX,82
BBVAFRPPXXX,CRLYFRPPXXX,53
CRLYFRPPXXX,BBVAFRPPXXX,53
CMADFRPPXXX,CRLYFRPPXXX,46
CRLYFRPPXXX,CMADFRPPXXX,46
CALDFR21XXX,CRLYFRPPXXX,117
CRLYFRPPXXX,CALDFR21XXX,117
SOGEFRPPXXX,CRLYFRPPXXX,67
CRLYFRPPXXX,SOGEFRPPXXX,67
CITIFRPPXXX,CRLYFRPPXXX,30
CRLYFRPPXXX,CITIFRPPXXX,30
KNABNL2HXXX,CRLYFRPPXXX,170
CRLYFRPPXXX,KNABNL2HXXX,170
MHCBJPJTXXX,CRLYFRPPXXX,155
CRLYFRPPXXX,MHCBJPJTXXX,155
ABNANL2AXXX,CRLYFRPPXXX,172
CRLYFRPPXXX,ABNANL2AXXX,172
DEUTDEBBXXX,CRLYFRPPXXX,167
CRLYFRPPXXX,DEUTDEBBXXX,167
MMTOJPJTXXX,CRLYFRPPXXX,102
CRLYFRPPXXX,MMTOJPJTXXX,102
NATAAU3302S,CRLYFRPPXXX,210
CRLYFRPPXXX,NATAAU3302S,210
BLKBCH22XXX,CRLYFRPPXXX,72
CRLYFRPPXXX,BLKBCH22XXX,72
CRESCHZZXXX,CRLYFRPPXXX,77
CRLYFRPPXXX,CRESCHZZXXX,77
HSBCGB2LXXX,CRLYFRPPXXX,227
CRLYFRPPXXX,HSBCGB2LXXX,227
SBININBBFXD,CRLYFRPPXXX,90
CRLYFRPPXXX,SBININBBFXD,90
ANZBAU3MXXX,CRLYFRPPXXX,147
CRLYFRPPXXX,ANZBAU3MXXX,147
BOTKJPJTXXX,CRLYFRPPXXX,100
CRLYFRPPXXX,BOTKJPJTXXX,100
BARCGB22XXX,CRLYFRPPXXX,209
CRLYFRPPXXX,BARCGB22XXX,209
SMBCJPJTXXX,CRLYFRPPXXX,112
CRLYFRPPXXX,SMBCJPJTXXX,112
CUSCAU2SXXX,CRLYFRPPXXX,124
CRLYFRPPXXX,CUSCAU2SXXX,124
ICICINBBCTS,CRLYFRPPXXX,218
CRLYFRPPXXX,ICICINBBCTS,218
WFBIUS6SXXX,CRLYFRPPXXX,122
CRLYFRPPXXX,WFBIUS6SXXX,122
ABOCCNBJXXX,CRLYFRPPXXX,207
CRLYFRPPXXX,ABOCCNBJXXX,207
BKCHCNBJXXX,CRLYFRPPXXX,179
CRLYFRPPXXX,BKCHCNBJXXX,179
HYVEDEMMXXX,CRLYFRPPXXX,66
CRLYFRPPXXX,HYVEDEMMXXX,66
HELADEF1RRS,CRLYFRPPXXX,106
CRLYFRPPXXX,HELADEF1RRS,106
BOFAUS3NXXX,CRLYFRPPXXX,200
CRLYFRPPXXX,BOFAUS3NXXX,200
BAFUCH22XXX,CRLYFRPPXXX,173
CRLYFRPPXXX,BAFUCH22XXX,173
UTIBINBBXXX,CRLYFRPPXXX,211
CRLYFRPPXXX,UTIBINBBXXX,211
CITIUS33XXX,CRLYFRPPXXX,115
CRLYFRPPXXX,CITIUS33XXX,115
CHASUS33XXX,CRLYFRPPXXX,100
CRLYFRPPXXX,CHASUS33XXX,100
HDFCINBBXXX,CRLYFRPPXXX,95
CRLYFRPPXXX,HDFCINBBXXX,95
UBSWCHZH80A,CRLYFRPPXXX,170
CRLYFRPPXXX,UBSWCHZH80A,170
CCBCCNBJXXX,CRLYFRPPXXX,79
CRLYFRPPXXX,CCBCCNBJXXX,79
RABONL2UXXX,CRLYFRPPXXX,182
CRLYFRPPXXX,RABONL2UXXX,182
RBOSGB2LXXX,CRLYFRPPXXX,201
CRLYFRPPXXX,RBOSGB2LXXX,201
MIDLGB22XXX,CRLYFRPPXXX,190
CRLYFRPPXXX,MIDLGB22XXX,190
COBADEFFXXX,CRLYFRPPXXX,96
CRLYFRPPXXX,COBADEFFXXX,96
WPACAU2SXXX,CRLYFRPPXXX,132
CRLYFRPPXXX,WPACAU2SXXX,132
INGBNL2AXXX,CRLYFRPPXXX,117
CRLYFRPPXXX,INGBNL2AXXX,117
PCBCCNBJXXX,CRLYFRPPXXX,138
CRLYFRPPXXX,PCBCCNBJXXX,138
BNPAFRPPXXX,AGRIFRPPXXX,37
AGRIFRPPXXX,BNPAFRPPXXX,37
CICIFRPPXXX,AGRIFRPPXXX,56
AGRIFRPPXXX,CICIFRPPXXX,56
CCBPFRPPXXX,AGRIFRPPXXX,74
AGRIFRPPXXX,CCBPFRPPXXX,74
CRLYFRPPXXX,AGRIFRPPXXX,28
AGRIFRPPXXX,CRLYFRPPXXX,28
BBVAFRPPXXX,AGRIFRPPXXX,77
AGRIFRPPXXX,BBVAFRPPXXX,77
CMADFRPPXXX,AGRIFRPPXXX,11
AGRIFRPPXXX,CMADFRPPXXX,11
CALDFR21XXX,AGRIFRPPXXX,56
AGRIFRPPXXX,CALDFR21XXX,56
SOGEFRPPXXX,AGRIFRPPXXX,56
AGRIFRPPXXX,SOGEFRPPXXX,56
CITIFRPPXXX,AGRIFRPPXXX,46
AGRIFRPPXXX,CITIFRPPXXX,46
KNABNL2HXXX,AGRIFRPPXXX,193
AGRIFRPPXXX,KNABNL2HXXX,193
MHCBJPJTXXX,AGRIFRPPXXX,107
AGRIFRPPXXX,MHCBJPJTXXX,107
ABNANL2AXXX,AGRIFRPPXXX,177
AGRIFRPPXXX,ABNANL2AXXX,177
DEUTDEBBXXX,AGRIFRPPXXX,159
AGRIFRPPXXX,DEUTDEBBXXX,159
MMTOJPJTXXX,AGRIFRPPXXX,226
AGRIFRPPXXX,MMTOJPJTXXX,226
NATAAU3302S,AGRIFRPPXXX,184
AGRIFRPPXXX,NATAAU3302S,184
BLKBCH22XXX,AGRIFRPPXXX,206
AGRIFRPPXXX,BLKBCH22XXX,206
CRESCHZZXXX,AGRIFRPPXXX,186
AGRIFRPPXXX,CRESCHZZXXX,186
HSBCGB2LXXX,AGRIFRPPXXX,116
AGRIFRPPXXX,HSBCGB2LXXX,116
SBININBBFXD,AGRIFRPPXXX,176
AGRIFRPPXXX,SBININBBFXD,176
ANZBAU3MXXX,AGRIFRPPXXX,61
AGRIFRPPXXX,ANZBAU3MXXX,61
BOTKJPJTXXX,AGRIFRPPXXX,156
AGRIFRPPXXX,BOTKJPJTXXX,156
BARCGB22XXX,AGRIFRPPXXX,212
AGRIFRPPXXX,BARCGB22XXX,212
SMBCJPJTXXX,AGRIFRPPXXX,171
AGRIFRPPXXX,SMBCJPJTXXX,171
CUSCAU2SXXX,AGRIFRPPXXX,176
AGRIFRPPXXX,CUSCAU2SXXX,176
ICICINBBCTS,AGRIFRPPXXX,153
AGRIFRPPXXX,ICICINBBCTS,153
WFBIUS6SXXX,AGRIFRPPXXX,132
AGRIFRPPXXX,WFBIUS6SXXX,132
ABOCCNBJXXX,AGRIFRPPXXX,125
AGRIFRPPXXX,ABOCCNBJXXX,125
BKCHCNBJXXX,AGRIFRPPXXX,190
AGRIFRPPXXX,BKCHCNBJXXX,190
HYVEDEMMXXX,AGRIFRPPXXX,205
AGRIFRPPXXX,HYVEDEMMXXX,205
HELADEF1RRS,AGRIFRPPXXX,182
AGRIFRPPXXX,HELADEF1RRS,182
BOFAUS3NXXX,AGRIFRPPXXX,87
AGRIFRPPXXX,BOFAUS3NXXX,87
BAFUCH22XXX,AGRIFRPPXXX,65
AGRIFRPPXXX,BAFUCH22XXX,65
UTIBINBBXXX,AGRIFRPPXXX,71
AGRIFRPPXXX,UTIBINBBXXX,71
CITIUS33XXX,AGRIFRPPXXX,184
AGRIFRPPXXX,CITIUS33XXX,184
CHASUS33XXX,AGRIFRPPXXX,93
AGRIFRPPXXX,CHASUS33XXX,93
HDFCINBBXXX,AGRIFRPPXXX,172
AGRIFRPPXXX,HDFCINBBXXX,172
UBSWCHZH80A,AGRIFRPPXXX,186
AGRIFRPPXXX,UBSWCHZH80A,186
CCBCCNBJXXX,AGRIFRPPXXX,162
AGRIFRPPXXX,CCBCCNBJXXX,162
RABONL2UXXX,AGRIFRPPXXX,60
AGRIFRPPXXX,RABONL2UXXX,60
RBOSGB2LXXX,AGRIFRPPXXX,61
AGRIFRPPXXX,RBOSGB2LXXX,61
MIDLGB22XXX,AGRIFRPPXXX,115
AGRIFRPPXXX,MIDLGB22XXX,115
COBADEFFXXX,AGRIFRPPXXX,107
AGRIFRPPXXX,COBADEFFXXX,107
WPACAU2SXXX,AGRIFRPPXXX,178
AGRIFRPPXXX,WPACAU2SXXX,178
INGBNL2AXXX,AGRIFRPPXXX,215
AGRIFRPPXXX,INGBNL2AXXX,215
PCBCCNBJXXX,AGRIFRPPXXX,92
AGRIFRPPXXX,PCBCCNBJXXX,92
BNPAGB22XXX,HSBCGB2LXXX,51
HSBCGB2LXXX,BNPAGB22XXX,51
SCBLGB2LXXX,HSBCGB2LXXX,90
HSBCGB2LXXX,SCBLGB2LXXX,90
AGRNGB2LXXX,HSBCGB2LXXX,116
HSBCGB2LXXX,AGRNGB2LXXX,116
LLOYGB2LXXX,HSBCGB2LXXX,89
HSBCGB2LXXX,LLOYGB2LXXX,89
BARCGB22XXX,HSBCGB2LXXX,47
HSBCGB2LXXX,BARCGB22XXX,47
NWBKGB2LXXX,HSBCGB2LXXX,117
HSBCGB2LXXX,NWBKGB2LXXX,117
RBOSGB2LXXX,HSBCGB2LXXX,32
HSBCGB2LXXX,RBOSGB2LXXX,32
MIDLGB22XXX,HSBCGB2LXXX,29
HSBCGB2LXXX,MIDLGB22XXX,29
JPMCGB2LXXX,HSBCGB2LXXX,70
HSBCGB2LXXX,JPMCGB2LXXX,70
BNPAFRPPXXX,HSBCGB2LXXX,210
HSBCGB2LXXX,BNPAFRPPXXX,210
KNABNL2HXXX,HSBCGB2LXXX,182
HSBCGB2LXXX,KNABNL2HXXX,182
MHCBJPJTXXX,HSBCGB2LXXX,223
HSBCGB2LXXX,MHCBJPJTXXX,223
ABNANL2AXXX,HSBCGB2LXXX,94
HSBCGB2LXXX,ABNANL2AXXX,94
DEUTDEBBXXX,HSBCGB2LXXX,131
HSBCGB2LXXX,DEUTDEBBXXX,131
MMTOJPJTXXX,HSBCGB2LXXX,187
HSBCGB2LXXX,MMTOJPJTXXX,187
NATAAU3302S,HSBCGB2LXXX,217
HSBCGB2LXXX,NATAAU3302S,217
BLKBCH22XXX,HSBCGB2LXXX,159
HSBCGB2LXXX,BLKBCH22XXX,159
CRESCHZZXXX,HSBCGB2LXXX,193
HSBCGB2LXXX,CRESCHZZXXX,193
CRLYFRPPXXX,HSBCGB2LXXX,228
HSBCGB2LXXX,CRLYFRPPXXX,228
AGRIFRPPXXX,HSBCGB2LXXX,102
HSBCGB2LXXX,AGRIFRPPXXX,102
SBININBBFXD,HSBCGB2LXXX,227
HSBCGB2LXXX,SBININBBFXD,227
ANZBAU3MXXX,HSBCGB2LXXX,159
HSBCGB2LXXX,ANZBAU3MXXX,159
BOTKJPJTXXX,HSBCGB2LXXX,228
HSBCGB2LXXX,BOTKJPJTXXX,228
SMBCJPJTXXX,HSBCGB2LXXX,149
HSBCGB2LXXX,SMBCJPJTXXX,149
CUSCAU2SXXX,HSBCGB2LXXX,160
HSBCGB2LXXX,CUSCAU2SXXX,160
ICICINBBCTS,HSBCGB2LXXX,229
HSBCGB2LXXX,ICICINBBCTS,229
WFBIUS6SXXX,HSBCGB2LXXX,204
HSBCGB2LXXX,WFBIUS6SXXX,204
ABOCCNBJXXX,HSBCGB2LXXX,207
HSBCGB2LXXX,ABOCCNBJXXX,207
BKCHCNBJXXX,HSBCGB2LXXX,167
HSBCGB2LXXX,BKCHCNBJXXX,167
HYVEDEMMXXX,HSBCGB2LXXX,178
HSBCGB2LXXX,HYVEDEMMXXX,178
HELADEF1RRS,HSBCGB2LXXX,240
HSBCGB2LXXX,HELADEF1RRS,240
BOFAUS3NXXX,HSBCGB2LXXX,229
HSBCGB2LXXX,BOFAUS3NXXX,229
BAFUCH22XXX,HSBCGB2LXXX,118
HSBCGB2LXXX,BAFUCH22XXX,118
UTIBINBBXXX,HSBCGB2LXXX,218
HSBCGB2LXXX,UTIBINBBXXX,218
CITIUS33XXX,HSBCGB2LXXX,166
HSBCGB2LXXX,CITIUS33XXX,166
CHASUS33XXX,HSBCGB2LXXX,175
HSBCGB2LXXX,CHASUS33XXX,175
HDFCINBBXXX,HSBCGB2LXXX,197
HSBCGB2LXXX,HDFCINBBXXX,197
UBSWCHZH80A,HSBCGB2LXXX,200
HSBCGB2LXXX,UBSWCHZH80A,200
CCBCCNBJXXX,HSBCGB2LXXX,203
HSBCGB2LXXX,CCBCCNBJXXX,203
RABONL2UXXX,HSBCGB2LXXX,107
HSBCGB2LXXX,RABONL2UXXX,107
SOGEFRPPXXX,HSBCGB2LXXX,169
HSBCGB2LXXX,SOGEFRPPXXX,169
COBADEFFXXX,HSBCGB2LXXX,145
HSBCGB2LXXX,COBADEFFXXX,145
WPACAU2SXXX,HSBCGB2LXXX,90
HSBCGB2LXXX,WPACAU2SXXX,90
INGBNL2AXXX,HSBCGB2LXXX,203
HSBCGB2LXXX,INGBNL2AXXX,203
PCBCCNBJXXX,HSBCGB2LXXX,216
HSBCGB2LXXX,PCBCCNBJXXX,216
ADDBINBBXXX,SBININBBFXD,115
SBININBBFXD,ADDBINBBXXX,115
KKBKINBBXXX,SBININBBFXD,90
SBININBBFXD,KKBKINBBXXX,90
INDBINBBBBI,SBININBBFXD,59
SBININBBFXD,INDBINBBBBI,59
ICICINBBCTS,SBININBBFXD,84
SBININBBFXD,ICICINBBCTS,84
CORPINBBXXX,SBININBBFXD,82
SBININBBFXD,CORPINBBXXX,82
UTIBINBBTCP,SBININBBFXD,88
SBININBBFXD,UTIBINBBTCP,88
UTIBINBBXXX,SBININBBFXD,75
SBININBBFXD,UTIBINBBXXX,75
HDFCINBBXXX,SBININBBFXD,27
SBININBBFXD,HDFCINBBXXX,27
IDIBINBBTSY,SBININBBFXD,80
SBININBBFXD,IDIBINBBTSY,80
BNPAFRPPXXX,SBININBBFXD,65
SBININBBFXD,BNPAFRPPXXX,65
KNABNL2HXXX,SBININBBFXD,186
SBININBBFXD,KNABNL2HXXX,186
MHCBJPJTXXX,SBININBBFXD,153
SBININBBFXD,MHCBJPJTXXX,153
ABNANL2AXXX,SBININBBFXD,210
SBININBBFXD,ABNANL2AXXX,210
DEUTDEBBXXX,SBININBBFXD,153
SBININBBFXD,DEUTDEBBXXX,153
MMTOJPJTXXX,SBININBBFXD,80
SBININBBFXD,MMTOJPJTXXX,80
NATAAU3302S,SBININBBFXD,148
SBININBBFXD,NATAAU3302S,148
BLKBCH22XXX,SBININBBFXD,152
SBININBBFXD,BLKBCH22XXX,152
CRESCHZZXXX,SBININBBFXD,68
SBININBBFXD,CRESCHZZXXX,68
CRLYFRPPXXX,SBININBBFXD,207
SBININBBFXD,CRLYFRPPXXX,207
AGRIFRPPXXX,SBININBBFXD,129
SBININBBFXD,AGRIFRPPXXX,129
HSBCGB2LXXX,SBININBBFXD,175
SBININBBFXD,HSBCGB2LXXX,175
ANZBAU3MXXX,SBININBBFXD,141
SBININBBFXD,ANZBAU3MXXX,141
BOTKJPJTXXX,SBININBBFXD,86
SBININBBFXD,BOTKJPJTXXX,86
BARCGB22XXX,SBININBBFXD,134
SBININBBFXD,BARCGB22XXX,134
SMBCJPJTXXX,SBININBBFXD,104
SBININBBFXD,SMBCJPJTXXX,104
CUSCAU2SXXX,SBININBBFXD,133
SBININBBFXD,CUSCAU2SXXX,133
WFBIUS6SXXX,SBININBBFXD,63
SBININBBFXD,WFBIUS6SXXX,63
ABOCCNBJXXX,SBININBBFXD,189
SBININBBFXD,ABOCCNBJXXX,189
BKCHCNBJXXX,SBININBBFXD,163
SBININBBFXD,BKCHCNBJXXX,163
HYVEDEMMXXX,SBININBBFXD,207
SBININBBFXD,HYVEDEMMXXX,207
HELADEF1RRS,SBININBBFXD,165
SBININBBFXD,HELADEF1RRS,165
BOFAUS3NXXX,SBININBBFXD,140
SBININBBFXD,BOFAUS3NXXX,140
BAFUCH22XXX,SBININBBFXD,146
SBININBBFXD,BAFUCH22XXX,146
